,0,1,16
0,Master bedroom,Master bedroom,Office
1,Master bedroom,Master bedroom,Office
2,Master bedroom,Master bedroom,Office
3,Master bedroom,Master bedroom,Office
4,Master bedroom,Master bedroom,Office
5,Master bedroom,Master bedroom,Office
6,Master bedroom,Master bedroom,Office
7,Master bedroom,Master bedroom,Office
8,Master bedroom,Master bedroom,Office
9,Master bedroom,Master bedroom,Office
10,Master bedroom,Master bedroom,Office
11,Master bedroom,Master bedroom,Kitchen
12,Master bedroom,Master bedroom,Kitchen
13,Master bedroom,Master bedroom,Kitchen
14,Master bedroom,Master bedroom,Kitchen
15,Master bedroom,Master bedroom,Kitchen
16,Master bedroom,Master bedroom,Living room
17,Master bedroom,Master bedroom,Living room
18,Master bedroom,Master bedroom,Living room
19,Master bedroom,Master bedroom,Living room
20,Master bedroom,Master bedroom,Living room
21,Master bedroom,Master bedroom,Living room
22,Master bedroom,Master bedroom,Kitchen
23,Master bedroom,Master bedroom,Living room
24,Master bedroom,Master bedroom,Kitchen
25,Master bedroom,Master bedroom,Kitchen
26,Master bedroom,Master bedroom,Kitchen
27,Master bedroom,Master bedroom,Kitchen
28,Master bedroom,Master bedroom,Kitchen
29,Master bedroom,Master bedroom,Kitchen
30,Master bedroom,Master bedroom,Kitchen
31,Master bedroom,Master bedroom,Kitchen
32,Master bedroom,Master bedroom,Outside
33,Master bedroom,Master bedroom,Kitchen
34,Master bedroom,Master bedroom,Kitchen
35,Master bedroom,Master bedroom,Living room
36,Master bedroom,Master bedroom,Living room
37,Master bedroom,Master bedroom,Kitchen
38,Master bedroom,Master bedroom,Kitchen
39,Master bedroom,Master bedroom,Kitchen
40,Master bedroom,Master bedroom,Kitchen
41,Master bedroom,Master bedroom,Kitchen
42,Master bedroom,Master bedroom,Kitchen
43,Master bedroom,Master bedroom,Kitchen
44,Master bedroom,Master bedroom,Kitchen
45,Master bedroom,Master bedroom,Kitchen
46,Master bedroom,Master bedroom,Kitchen
47,Master bedroom,Master bedroom,Kitchen
48,Master bedroom,Master bedroom,Kitchen
49,Master bedroom,Master bedroom,Kitchen
50,Master bedroom,Master bedroom,Kitchen
51,Master bedroom,Master bedroom,Kitchen
52,Master bedroom,Master bedroom,Kitchen
53,Master bedroom,Master bedroom,Kitchen
54,Master bedroom,Master bedroom,Kitchen
55,Master bedroom,Master bedroom,Kitchen
56,Master bedroom,Master bedroom,Kitchen
57,Master bedroom,Master bedroom,Kitchen
58,Master bedroom,Master bedroom,Kitchen
59,Master bedroom,Master bedroom,Kitchen
60,Master bedroom,Master bedroom,Center
61,Master bedroom,Master bedroom,Outside
62,Master bedroom,Master bedroom,Outside
63,Master bedroom,Master bedroom,Outside
64,Master bedroom,Master bedroom,Outside
65,Master bedroom,Master bedroom,Outside
66,Master bedroom,Master bedroom,Outside
67,Master bedroom,Master bedroom,Outside
68,Master bedroom,Master bedroom,Outside
69,Master bedroom,Master bedroom,Outside
70,Master bedroom,Master bedroom,Outside
71,Master bedroom,Master bedroom,Outside
72,Master bedroom,Master bedroom,Outside
73,Master bedroom,Master bedroom,Outside
74,Master bedroom,Master bedroom,Outside
75,Master bedroom,Master bedroom,Outside
76,Master bedroom,Master bedroom,Outside
77,Master bedroom,Master bedroom,Outside
78,Master bedroom,Master bedroom,Outside
79,Master bedroom,Master bedroom,Outside
80,Master bedroom,Master bedroom,Kitchen
81,Master bedroom,Master bedroom,Living room
82,Master bedroom,Master bedroom,Kitchen
83,Master bedroom,Master bedroom,Living room
84,Master bedroom,Master bedroom,Kitchen
85,Master bedroom,Master bedroom,Kitchen
86,Master bedroom,Master bedroom,Living room
87,Master bedroom,Master bedroom,Living room
88,Master bedroom,Master bedroom,Living room
89,Master bedroom,Master bedroom,Living room
90,Master bedroom,Master bedroom,Kitchen
91,Master bedroom,Master bedroom,Corridor
92,Master bedroom,Master bedroom,Kitchen
93,Master bedroom,Master bedroom,Second bedroom
94,Master bedroom,Master bedroom,Second bedroom
95,Master bedroom,Master bedroom,Second bedroom
96,Master bedroom,Master bedroom,Second bedroom
97,Master bedroom,Master bedroom,Second bedroom
98,Master bedroom,Master bedroom,Second bedroom
99,Master bedroom,Master bedroom,Second bedroom
100,Master bedroom,Master bedroom,Second bedroom
