location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,4973,6163,6537,6553,6535,6398,5231,4022,2107,608,911,745,153,255,230,266,350,198,173,115,123,249,752,1998
1,153,26,9,23,48,91,222,754,582,599,858,461,69,85,106,57,121,71,80,30,62,70,146,213
2,1493,453,72,6,6,30,630,971,1984,2716,2175,1856,1617,1926,2868,3091,3287,3508,3956,4763,5486,5665,5228,4223
3,29,6,6,6,6,50,318,442,689,604,596,518,431,508,496,701,768,825,710,603,247,153,76,77
4,8,6,6,6,6,6,9,20,36,37,43,57,31,37,66,68,51,62,46,33,24,26,17,16
5,6,10,22,51,50,57,10,47,39,27,42,56,26,35,42,78,55,59,33,21,20,9,9,12
6,56,61,65,91,85,90,249,309,381,349,274,148,137,288,388,500,716,506,378,316,278,197,207,78
7,6,6,6,6,6,6,6,16,80,44,45,158,405,210,210,447,497,368,272,175,122,73,95,82
8,6,6,6,6,6,6,6,6,23,8,9,15,8,23,19,26,34,27,16,9,6,6,6,6
9,6,6,13,6,6,6,43,135,799,1728,1767,2706,3843,3353,2295,1486,841,1096,1056,655,353,273,186,19
