Day,Ideal,Actual,Date,Notes,Ideal,Actual
1,5,3,3/16/2016,,920,922
2,5,3,3/17/2016,,915,919
3,5,3,3/18/2016,,910,916
4,5,3,3/19/2016,,905,913
5,5,3,3/20/2016,,900,910
6,5,3,3/21/2016,,895,907
7,5,3,3/22/2016,,890,904
8,5,3,3/23/2016,,885,901
9,5,3,3/24/2016,,880,898
10,5,3,3/25/2016,,875,895
11,5,3,3/26/2016,,870,892
12,5,3,3/27/2016,,865,889
13,5,3,3/28/2016,,860,886
14,5,3,3/29/2016,,855,883
15,5,3,3/30/2016,,850,880
16,5,3,3/31/2016,,845,877
17,5,3,4/1/2016,,840,874
18,5,3,4/2/2016,,835,871
19,5,3,4/3/2016,,830,868
20,5,3,4/4/2016,,825,865
21,5,3,4/5/2016,,820,862
22,5,3,4/6/2016,,815,859
23,5,3,4/7/2016,,810,856
24,5,3,4/8/2016,,805,853
25,5,0,4/9/2016,,800,
26,5,0,4/10/2016,,795,
27,5,0,4/11/2016,,790,
28,5,0,4/12/2016,,785,
29,5,0,4/13/2016,,780,
30,5,0,4/14/2016,,775,
31,5,0,4/15/2016,,770,
32,5,0,4/16/2016,,765,
33,5,0,4/17/2016,,760,
34,5,0,4/18/2016,,755,
35,5,0,4/19/2016,,750,
36,5,0,4/20/2016,,745,
37,5,0,4/21/2016,,740,
38,5,0,4/22/2016,,735,
39,5,0,4/23/2016,,730,
40,5,0,4/24/2016,,725,
41,5,0,4/25/2016,,720,
42,5,0,4/26/2016,,715,
43,5,0,4/27/2016,,710,
44,5,0,4/28/2016,,705,
45,5,0,4/29/2016,,700,
46,5,0,4/30/2016,,695,
47,5,0,5/1/2016,,690,
48,5,0,5/2/2016,,685,
49,5,0,5/3/2016,,680,
50,5,0,5/4/2016,,675,
51,5,0,5/5/2016,,670,
52,5,0,5/6/2016,,665,
53,5,0,5/7/2016,,660,
54,5,0,5/8/2016,,655,
55,5,0,5/9/2016,,650,
56,5,0,5/10/2016,,645,
57,5,0,5/11/2016,,640,
58,5,0,5/12/2016,,635,
59,5,0,5/13/2016,,630,
60,5,0,5/14/2016,,625,
61,5,0,5/15/2016,,620,
62,5,0,5/16/2016,,615,
63,5,0,5/17/2016,,610,
64,5,0,5/18/2016,,605,
65,5,0,5/19/2016,,600,
66,5,0,5/20/2016,,595,
67,5,0,5/21/2016,,590,
68,5,0,5/22/2016,,585,
69,5,0,5/23/2016,,580,
70,5,0,5/24/2016,,575,
71,5,0,5/25/2016,,570,
72,5,0,5/26/2016,,565,
73,5,0,5/27/2016,,560,
74,5,0,5/28/2016,,555,
75,5,0,5/29/2016,,550,
76,5,0,5/30/2016,,545,
77,5,0,5/31/2016,,540,
78,5,0,6/1/2016,,535,
79,5,0,6/2/2016,,530,
